Municipio,Confirmados,Recuperados ,Fallecidos
BARANOA,"8,834","8,519",327
CAMPO DE LA CRUZ,"1,615","1,568",51
CANDELARIA,917,893,26
Galapa,1,1,0
GALAPA,"7,743","7,493",259
JUAN DE ACOSTA,"1,830","1,783",50
LURUACO,970,923,50
MALAMBO,"10,193","9,768",447
MANATI,"1,295","1,253",46
PALMAR DE VARELA,"3,351","3,247",106
PIOJO,294,282,12
POLO NUEVO,"2,022","1,963",61
PONEDERA,"1,421","1,371",51
puerto colombia,2,2,0
puerto COLOMBIA,1,1,0
PUERTO COLOMBIA,"8,601","8,325",287
REPELON,"1,036",999,37
SABANAGRANDE,"3,213","3,115",107
SABANALARGA,"12,215","11,879",349
SANTA LUCIA,589,574,17
SANTO TOMAS,"4,246","4,119",129
SOLEDAD,"67,455","64,870","2,632"
SUAN,751,715,37
TUBARA,"1,368","1,300",72
USIACURI,"1,057","1,022",35
